Date,ABG.JO,AGL.JO,ANG.JO,DSY.JO,FSR.JO,GFI.JO,IMP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,PIK.JO,PRX.JO,REM.JO,SBK.JO,SLM.JO,SOL.JO,SPP.JO,TFG.JO,TKG.JO,VOD.JO,WHL.JO
2019-08-23,15036.1875,30463.384765625,33622.390625,10447.9189453125,5822.267578125,8917.8564453125,7560.2021484375,15475.146484375,10030.439453125,22178.923828125,44330.8515625,5507.3369140625,,12070.2314453125,16946.9453125,7033.5673828125,27087.12109375,17099.0390625,12636.37890625,8114.67431640625,11104.55859375,5198.96923828125
2019-08-26,15036.1875,30464.361328125,34672.65234375,10349.9755859375,5801.34228515625,9270.099609375,8027.91455078125,15687.640625,10101.2939453125,22046.4921875,43825.1796875,5582.232421875,,12028.0146484375,16970.845703125,7051.50732421875,26566.771484375,16768.521484375,12701.9736328125,7964.791015625,11102.5673828125,5123.1298828125
2019-08-27,14714.552734375,30985.765625,34783.57421875,10567.8486328125,5769.45654296875,9194.26171875,7992.01416015625,15915.099609375,10028.4423828125,21581.513671875,44232.3125,5554.27099609375,,11992.23828125,16800.52734375,7096.35791015625,26803.4765625,16699.623046875,12778.0654296875,7775.9384765625,10982.0263671875,5108.162109375
2019-08-28,14950.5517578125,31256.236328125,35631.9765625,10728.7548828125,5837.21435546875,9130.3984375,8317.119140625,16229.3505859375,10120.22265625,21877.228515625,43871.46875,5639.15283203125,,12108.869140625,17145.146484375,7144.19873046875,27965.0234375,17230.845703125,13113.9169921875,7789.92724609375,11174.2919921875,5193.98046875
2019-08-29,14687.66796875,31621.421875,34427.828125,10793.716796875,5757.4990234375,9028.6171875,8376.9560546875,16620.419921875,10031.38671875,21774.67578125,44380.64453125,5592.2177734375,,12070.947265625,16966.86328125,7107.32177734375,28214.7109375,16866.376953125,13013.3359375,7643.0419921875,11125.478515625,5381.58251953125
2019-08-30,15304.0517578125,31991.478515625,34589.70703125,11510.2998046875,5977.71337890625,9066.5380859375,8621.283203125,17128.212890625,10240.0,22502.5234375,44782.0703125,5771.9677734375,,12286.3203125,17655.09765625,7250.84326171875,28759.02734375,17357.662109375,13162.8935546875,7954.79931640625,11485.10546875,5506.31689453125
2019-09-02,15095.9345703125,31956.330078125,34365.86328125,11143.5126953125,5900.9873046875,8858.9814453125,8695.08203125,16762.080078125,9986.470703125,22338.236328125,45251.4453125,5721.0390625,,12063.0751953125,17580.400390625,7121.27392578125,26898.357421875,17105.03125,13018.583984375,7921.82470703125,11264.9443359375,5358.63037109375
2019-09-03,15297.0810546875,31587.240234375,35263.234375,11493.310546875,5967.75048828125,8990.69921875,8611.3095703125,16980.560546875,10052.3486328125,22382.044921875,45381.1015625,5785.94873046875,,12158.240234375,17785.572265625,7155.1630859375,25987.498046875,17266.79296875,13786.4921875,7954.79931640625,11298.818359375,5404.53271484375
2019-09-04,15282.1455078125,31957.3046875,33467.4921875,11438.3408203125,5978.71142578125,8432.458984375,8611.3095703125,16809.966796875,9938.55859375,22461.697265625,46599.91015625,5858.8466796875,,12224.783203125,17828.400390625,7165.12890625,26345.048828125,17410.583984375,13790.8662109375,7925.8212890625,11316.748046875,5375.59521484375
2019-09-05,15683.44140625,32507.03125,32515.166015625,11966.03515625,6078.35546875,8133.08251953125,8536.515625,16874.814453125,10091.275390625,23003.35546875,46548.04296875,5907.779296875,,12450.1787109375,18356.28125,7362.47119140625,27119.080078125,17848.943359375,14053.25,8184.61962890625,11556.83203125,5430.4775390625
